               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018034,            0.011289,            0.040008,             0.29647,             0.73546,             0.51552,             0.34433,            0.014039,           0.0036207,            0.029898,            0.006535,            0.006535,            0.006535
                  37,            0.017751,            0.011107,            0.040073,             0.35772,             0.64482,             0.52789,             0.36382,            0.013491,           0.0037313,            0.030692,            0.006436,            0.006436,            0.006436
                  38,            0.018106,            0.011337,            0.040289,              0.3164,             0.67557,             0.52868,             0.36018,            0.013612,           0.0038539,             0.02986,            0.006337,            0.006337,            0.006337
                  39,            0.017171,             0.01069,            0.038675,             0.32661,             0.66185,              0.5677,             0.41233,            0.012737,           0.0035009,            0.029808,            0.006238,            0.006238,            0.006238
                  40,            0.017392,            0.011054,            0.039549,             0.28344,             0.71385,             0.53839,             0.36842,            0.013809,           0.0039605,            0.029492,            0.006139,            0.006139,            0.006139
                  41,            0.017719,            0.010811,            0.038768,             0.29669,             0.73994,             0.54989,             0.41914,            0.012522,           0.0036689,            0.029651,             0.00604,             0.00604,             0.00604
                  42,            0.017404,            0.011004,            0.038279,             0.31859,             0.70001,             0.57379,              0.4233,            0.012957,           0.0033905,            0.028941,            0.005941,            0.005941,            0.005941
                  43,              0.0175,            0.011178,            0.038747,             0.41186,              0.6422,             0.55205,             0.38423,            0.013478,           0.0035755,            0.028324,            0.005842,            0.005842,            0.005842
                  44,            0.017058,            0.010794,            0.037529,             0.45031,             0.57885,             0.51446,             0.37271,            0.013271,           0.0034854,            0.029988,            0.005743,            0.005743,            0.005743
                  45,            0.017147,            0.011104,             0.03733,              0.5038,             0.65816,             0.61397,             0.46062,            0.013139,           0.0034042,            0.027483,            0.005644,            0.005644,            0.005644
                  46,            0.016892,            0.010801,            0.037871,             0.47178,             0.63209,             0.58841,             0.45235,            0.012122,           0.0034244,            0.027913,            0.005545,            0.005545,            0.005545
                  47,            0.016753,            0.010528,            0.036793,             0.45394,             0.71112,             0.61101,             0.44902,            0.012118,            0.003554,            0.027447,            0.005446,            0.005446,            0.005446
                  48,            0.017182,            0.010787,            0.036934,             0.40083,             0.69921,             0.55418,              0.3873,            0.014141,           0.0035445,            0.027506,            0.005347,            0.005347,            0.005347
